"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2008","38,924.57","38,924.57","38,924.57","38,924.57","","-3.45%"
"06/01/2008","40,315.29","40,315.29","40,315.29","40,315.29","","-11.18%"
"05/01/2008","45,389.53","45,389.53","45,389.53","45,389.53","","1.11%"
"04/01/2008","44,889.56","44,889.56","44,889.56","44,889.56","","7.88%"
"03/01/2008","41,609.74","41,609.74","41,609.74","41,609.74","","-5.87%"
"02/01/2008","44,204.30","44,204.30","44,204.30","44,204.30","","-1.88%"
"01/01/2008","45,050.83","45,050.83","45,050.83","45,050.83","","-11.21%"
"12/01/2007","50,740.80","50,740.80","50,740.80","50,740.80","","-1.08%"
"11/01/2007","51,295.49","51,295.49","51,295.49","51,295.49","","-3.47%"
"10/01/2007","53,137.15","53,137.15","53,137.15","53,137.15","","1.95%"
"09/01/2007","52,118.64","52,118.64","52,118.64","52,118.64","","-0.74%"
"08/01/2007","52,509.14","52,509.14","52,509.14","52,509.14","","-0.08%"
"07/01/2007","52,553.34","52,553.34","52,553.34","52,553.34","","-4.13%"
"06/01/2007","54,816.86","54,816.86","54,816.86","54,816.86","","-1.92%"
"05/01/2007","55,887.67","55,887.67","55,887.67","55,887.67","","0.53%"
"04/01/2007","55,592.26","55,592.26","55,592.26","55,592.26","","5.17%"
"03/01/2007","52,859.64","52,859.64","52,859.64","52,859.64","","1.50%"
"02/01/2007","52,080.24","52,080.24","52,080.24","52,080.24","","-2.47%"
"01/01/2007","53,399.33","53,399.33","53,399.33","53,399.33","","1.84%"
"12/01/2006","52,433.94","52,433.94","52,433.94","52,433.94","","2.89%"
"11/01/2006","50,960.33","50,960.33","50,960.33","50,960.33","","2.10%"
"10/01/2006","49,910.22","49,910.22","49,910.22","49,910.22","","3.26%"
"09/01/2006","48,334.30","48,334.30","48,334.30","48,334.30","","1.42%"
"08/01/2006","47,658.96","47,658.96","47,658.96","47,658.96","","3.64%"
"07/01/2006","45,985.87","45,985.87","45,985.87","45,985.87","","0.44%"
"06/01/2006","45,782.78","45,782.78","45,782.78","45,782.78","","1.10%"
"05/01/2006","45,284.32","45,284.32","45,284.32","45,284.32","","-1.96%"
"04/01/2006","46,191.77","46,191.77","46,191.77","46,191.77","","0.33%"
"03/01/2006","46,041.11","46,041.11","46,041.11","46,041.11","","0.74%"
"02/01/2006","45,703.47","45,703.47","45,703.47","45,703.47","","2.72%"
"01/01/2006","44,493.78","44,493.78","44,493.78","44,493.78","","2.66%"
"12/01/2005","43,341.41","43,341.41","43,341.41","43,341.41","","4.73%"
"11/01/2005","41,381.98","41,381.98","41,381.98","41,381.98","","4.06%"
"10/01/2005","39,765.79","39,765.79","39,765.79","39,765.79","","-5.73%"
"09/01/2005","42,183.23","42,183.23","42,183.23","42,183.23","","3.74%"
"08/01/2005","40,661.25","40,661.25","40,661.25","40,661.25","","-0.51%"
"07/01/2005","40,870.37","40,870.37","40,870.37","40,870.37","","4.17%"
"06/01/2005","39,232.75","39,232.75","39,232.75","39,232.75","","3.24%"
"05/01/2005","38,001.84","38,001.84","38,001.84","38,001.84","","3.80%"
"04/01/2005","36,611.89","36,611.89","36,611.89","36,611.89","","-3.66%"
"03/01/2005","38,001.25","38,001.25","38,001.25","38,001.25","","1.42%"
"02/01/2005","37,470.26","37,470.26","37,470.26","37,470.26","","1.65%"
"01/01/2005","36,863.21","36,863.21","36,863.21","36,863.21","","1.40%"
"12/01/2004","36,355.83","36,355.83","36,355.83","36,355.83","","4.35%"
"11/01/2004","34,840.49","34,840.49","34,840.49","34,840.49","","3.30%"
"10/01/2004","33,728.59","33,728.59","33,728.59","33,728.59","","3.19%"
"09/01/2004","32,685.53","32,685.53","32,685.53","32,685.53","","3.27%"
"08/01/2004","31,649.38","31,649.38","31,649.38","31,649.38","","-2.27%"
"07/01/2004","32,383.94","32,383.94","32,383.94","32,383.94","","-1.97%"
"06/01/2004","33,035.59","33,035.59","33,035.59","33,035.59","","3.99%"
"05/01/2004","31,767.35","31,767.35","31,767.35","31,767.35","","-0.33%"
"04/01/2004","31,871.22","31,871.22","31,871.22","31,871.22","","3.37%"
"03/01/2004","30,832.63","30,832.63","30,832.63","30,832.63","","-2.90%"
"02/01/2004","31,752.26","31,752.26","31,752.26","31,752.26","","0.66%"
"01/01/2004","31,543.66","31,543.66","31,543.66","31,543.66","","3.30%"
